,GEOID,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4
0,36001000100,0.8285,0.896,0.895,0.7547,0.3587
1,36001000201,0.6752,0.7106,0.6133,0.7662,0.4169
2,36001000202,0.6967,0.7945,0.4087,0.8901,0.4382
3,36001000301,0.8108,0.8439,0.9497,0.795,0.2789
4,36001000302,0.3269,0.4907,0.1174,0.4939,0.3523
5,36001000401,0.2291,0.1062,0.4266,0.2691,0.4623
6,36001000403,0.2154,0.4545,0.1441,0.4403,0.1444
7,36001000404,-999,0.1782,0.0049,0.5829,-999
8,36001000501,0.915,0.9093,0.9242,0.6987,0.7633
9,36001000502,0.329,0.5907,0.0535,0.5868,0.3437
10,36001000600,0.8985,0.9814,0.7269,0.6945,0.7076
11,36001000700,0.8952,0.8525,0.9276,0.8052,0.7216
12,36001000800,0.9568,0.9371,0.9314,0.8282,0.885
13,36001001100,0.8304,0.8098,0.621,0.6249,0.8592
14,36001001400,0.2523,0.4112,0.045,0.4384,0.4836
15,36001001500,0.6798,0.7922,0.0649,0.578,0.8773
16,36001001600,0.4421,0.6322,0.0893,0.5061,0.4862
17,36001001700,0.3404,0.4432,0.1051,0.4384,0.4984
18,36001001802,0.502,0.4839,0.2298,0.3506,0.7427
19,36001001803,0.028,0.0761,0.0949,0.2655,0.0657
20,36001001804,0.5402,0.4089,0.7411,0.4699,0.5031
21,36001001901,0.0761,0.0589,0.5308,0.3596,0.0433
22,36001001902,0.0517,0.0055,0.379,0.4045,0.129
23,36001002000,0.7893,0.7917,0.6537,0.656,0.7218
24,36001002100,0.5868,0.8356,0.0395,0.637,0.6903
25,36001002200,0.4389,0.5362,0.1933,0.5297,0.4587
26,36001002300,0.7003,0.742,0.4711,0.6504,0.6114
27,36001002500,0.9641,0.8375,0.9499,0.8197,0.9882
28,36001002600,0.8713,0.8187,0.7727,0.6928,0.875
29,36001012700,0.5782,0.8116,0.2946,0.3562,0.3933
30,36001012800,0.8768,0.861,0.8967,0.4992,0.7785
31,36001012900,0.7203,0.8095,0.6084,0.3394,0.6093
32,36001013000,0.2685,0.2367,0.608,0.1573,0.2841
33,36001013100,0.537,0.6265,0.6919,0.403,0.2706
34,36001013200,0.6824,0.6813,0.9822,0.4959,0.1423
35,36001013300,0.5729,0.7807,0.3209,0.4018,0.3882
36,36001013400,0.366,0.4727,0.5849,0.3358,0.1847
37,36001013503,0.4248,0.3544,0.5359,0.4756,0.4182
38,36001013505,0.1149,0.1983,0.2676,0.208,0.1203
39,36001013507,0.1379,0.0578,0.3674,0.4669,0.2386
40,36001013509,0.1278,0.1307,0.1617,0.3115,0.2856
41,36001013510,0.3451,0.2593,0.3954,0.5235,0.4363
42,36001013511,0.2904,0.2536,0.2561,0.5904,0.3777
43,36001013512,0.05,0.0602,0.3748,0.2348,0.045
44,36001013602,0.6442,0.386,0.4974,0.6236,0.8858
45,36001013603,0.0428,0.0678,0.0299,0.4239,0.2599
46,36001013604,0.2683,0.3114,0.0564,0.3947,0.6268
47,36001013703,0.1369,0.1848,0.1165,0.4546,0.2358
48,36001013706,0.031,0.0114,0.5582,0.1656,0.0283
49,36001013707,0.3227,0.2186,0.6396,0.2947,0.3641
50,36001013708,0.0686,0.1994,0.0705,0.2233,0.1393
51,36001013709,0.0523,0.0239,0.3943,0.3934,0.0676
52,36001013802,0.0392,0.0886,0.1208,0.1418,0.1009
53,36001013803,0.2712,0.2545,0.7931,0.3687,0.1026
54,36001013804,0.6248,0.4352,0.4784,0.3994,0.8856
55,36001013901,0.0713,0.0949,0.1435,0.3172,0.153
56,36001013902,0.1356,0.1665,0.3952,0.2881,0.125
57,36001014001,0.4739,0.3466,0.368,0.4829,0.689
58,36001014002,0.4048,0.3593,0.7173,0.3358,0.3061
59,36001014100,0.3065,0.2004,0.2789,0.1822,0.665
60,36001014201,0.3769,0.2792,0.5416,0.2508,0.4999
61,36001014202,0.0934,0.1415,0.2334,0.1239,0.1556
62,36001014203,0.0953,0.0659,0.5567,0.202,0.0977
63,36001014301,0.3822,0.2583,0.3949,0.2608,0.6603
64,36001014303,0.0422,0.0172,0.4196,0.2385,0.0646
65,36001014304,0.1019,0.0973,0.1596,0.2582,0.2692
66,36001014401,0.1599,0.2028,0.1352,0.0377,0.4264
67,36001014402,0.4183,0.553,0.2052,0.228,0.5094
68,36001014501,0.0029,0.0417,0.1017,0.1754,0
69,36001014502,0.0527,0.1104,0.146,0.0675,0.1326
70,36001014503,0.0285,0.018,0.4703,0.089,0.0357
71,36001014606,0.0319,0.0705,0.1636,0.1914,0.054
72,36001014608,0.1668,0.2466,0.0751,0.4522,0.3268
73,36001014609,0.1915,0.2042,0.0289,0.3817,0.7154
74,36001014611,0.147,0.1343,0.0807,0.3349,0.4699
75,36001014612,0.2267,0.1233,0.6207,0.2846,0.2945
76,36001014613,0.1609,0.1987,0.3377,0.1724,0.2086
77,36001014614,0.1384,0.0809,0.43,0.4137,0.1841
78,36001014615,0.3868,0.1339,0.5715,0.5416,0.6215
79,36001014616,0.1069,0.0441,0.6373,0.2797,0.1112
80,36001014617,0.0082,0.0053,0.0654,0.333,0.0859
81,36001014700,0.0253,0.0466,0.1282,0.003,0.1144
82,36001014801,0.2968,0.5078,0.3461,0.0762,0.2214
83,36001014802,0.0867,0.0337,0.5019,0.0492,0.1894
84,36001014803,0.2375,0.2356,0.3035,0.014,0.4748
85,36003940200,-999,-999,0.024,0.4801,0
86,36003950100,0.22,0.2322,0.4654,0.0289,0.311
87,36003950300,0.672,0.7025,0.3362,0.1179,0.8649
88,36003950401,0.4526,0.5803,0.7122,0.1377,0.229
89,36003950402,0.6132,0.7447,0.7455,0.0172,0.4347
90,36003950500,0.4921,0.5233,0.646,0.0109,0.5043
91,36003950600,0.6085,0.4409,0.7472,0.1011,0.8184
92,36003950700,0.3179,0.3697,0.2504,0.062,0.528
93,36003950800,0.325,0.4059,0.0312,0.3462,0.8005
94,36003950900,0.6298,0.6081,0.7258,0.007,0.7207
95,36003951000,0.487,0.5453,0.7383,0.0047,0.3918
96,36003951100,0.6001,0.5477,0.7799,0.0762,0.6426
97,36003951201,0.5178,0.4756,0.8103,0.0302,0.4674
98,36003951202,0.4594,0.4847,0.7837,0.0273,0.3471
99,36003951301,0.2953,0.3314,0.3763,0.0581,0.4108
100,36003951302,0.3904,0.4366,0.7046,0.0324,0.3084
101,36005000100,-999,-999,-999,0.8073,-999
102,36005000200,0.8642,0.8311,0.9767,0.9344,0.3677
103,36005000400,0.6054,0.6439,0.7695,0.8597,0.2054
