GEOID,pop
36005000100,7703
36005000200,5403
36005000400,5915
36005001600,5879
36005001900,2591
36005002000,8516
36005002300,4774
36005002400,150
36005002500,5355
36005002701,3016
36005002702,4778
36005002800,5299
36005003100,1466
36005003300,3912
36005003500,3948
36005003700,246
36005003800,1193
36005003900,6614
36005004001,1419
36005004100,6476
36005004200,7120
36005004300,6057
36005004400,4754
36005004600,1869
36005004800,3999
36005005001,4885
36005005002,5650
36005005100,5653
36005005200,2277
36005005300,3727
36005005400,6219
36005005600,2468
36005005902,3131
36005006000,1256
36005006100,3706
36005006200,7610
36005006300,4431
36005006400,3590
36005006500,5487
36005006700,7421
36005006800,3288
36005006900,8554
36005007000,4568
36005007100,2547
36005007200,5822
36005007300,3761
36005007400,3635
36005007500,5599
36005007600,5587
36005007700,1933
36005007800,6518
36005007900,6420
36005008300,6882
36005008400,2289
36005008500,5959
36005008600,3874
36005008700,6002
36005008900,3438
36005009000,3476
36005009200,5622
36005009300,6517
36005009600,2562
36005009800,5041
36005011000,153
36005011502,4566
36005011700,1603
36005011800,5364
36005011900,5603
36005012101,3057
36005012102,1835
36005012300,4379
36005012500,4272
36005012701,1992
36005012901,4017
36005013000,1364
36005013100,4685
36005013200,7426
36005013300,7284
36005013500,3908
36005013800,2989
36005014100,5355
36005014300,968
36005014400,6049
36005014500,7360
36005014701,7023
36005014702,5243
36005014900,4348
36005015100,5458
36005015200,2803
36005015300,4466
36005015500,3178
36005015700,4054
36005015800,1202
36005015900,1420
36005016000,4274
36005016100,4140
36005016200,1969
36005016300,0
36005016400,885
36005016500,1189
36005016600,2252
36005016700,2733
36005016900,1338
36005017100,0
36005017300,6301
36005017500,7004
36005017701,4946
36005017702,5388
36005017901,4661
36005017902,3600
36005018101,2921
36005018102,5626
36005018301,4202
36005018302,4078
36005018400,3676
36005018500,6885
36005018900,8304
36005019300,5737
36005019400,2231
36005019500,7622
36005019700,7104
36005019900,8015
36005020000,4722
36005020100,4340
36005020200,2232
36005020400,3131
36005020501,7030
36005020502,2123
36005020601,2724
36005020900,4351
36005021001,9254
36005021002,6416
36005021100,5506
36005021200,5257
36005021301,1194
36005021302,6061
36005021501,4726
36005021502,6013
36005021601,4137
36005021602,6243
36005021700,5000
36005021800,6882
36005021900,1277
36005022000,2176
36005022101,3884
36005022102,5010
36005022200,3414
36005022300,5108
36005022401,2652
36005022403,3502
36005022404,4187
36005022500,8066
36005022701,5917
36005022702,1485
36005022703,1871
36005022800,6231
36005022901,5568
36005022902,3386
36005023000,3334
36005023100,1594
36005023200,2704
36005023301,4356
36005023302,3614
36005023501,3044
36005023502,4706
36005023600,2275
36005023702,1216
36005023703,5014
36005023704,3717
36005023800,2567
36005023900,8282
36005024000,3963
36005024100,6324
36005024300,5748
36005024400,2551
36005024501,5162
36005024502,3619
36005024600,2223
36005024700,1964
36005024800,3069
36005024900,0
36005025000,2663
36005025100,6564
36005025200,2692
36005025300,5952
36005025400,2200
36005025500,5874
36005025600,1831
36005025700,1728
36005026100,1958
36005026300,6456
36005026400,5842
36005026500,7009
36005026601,3035
36005026602,5769
36005026701,3659
36005026702,6824
36005026900,3862
36005027300,8113
36005027401,4576
36005027402,3878
36005027600,63
36005027700,5892
36005027900,6809
36005028100,3974
36005028300,3370
36005028400,740
36005028500,3233
36005028600,1288
36005028700,3281
36005028800,3527
36005028900,4326
36005029301,1989
36005029302,5597
36005029500,4725
36005029600,1660
36005029700,3749
36005030000,5801
36005030100,1308
36005030200,9607
36005030701,5248
36005030900,3896
36005031000,4869
36005031200,2015
36005031400,2300
36005031600,1956
36005031800,2252
36005031900,645
36005032300,4595
36005032400,2954
36005032600,3576
36005032800,4260
36005033000,5697
36005033201,4125
36005033202,4207
36005033400,1441
36005033500,2207
36005033600,6613
36005033700,2277
36005033800,4247
36005034000,4582
36005034200,2128
36005034300,1755
36005034400,2324
36005034500,3461
36005034800,7306
36005035000,1781
36005035100,3296
36005035600,2367
36005035800,7558
36005035900,1960
36005036000,3063
36005036100,6099
36005036300,7977
36005036400,2389
36005036501,3904
36005036502,2002
36005036700,2709
36005036800,2186
36005036901,2276
36005036902,2236
36005037000,2463
36005037100,3908
36005037200,2052
36005037300,5463
36005037400,3713
36005037504,3690
36005037600,2440
36005037800,3233
36005037900,5287
36005038000,4755
36005038100,6534
36005038200,2666
36005038301,4356
36005038302,5941
36005038500,5025
36005038600,7477
36005038700,3297
36005038800,2471
36005038900,5908
36005039000,3191
36005039100,6808
36005039200,1750
36005039300,8433
36005039400,4961
36005039500,3980
36005039600,4287
36005039700,4106
36005039800,2769
36005039901,5168
36005039902,5156
36005040100,5088
36005040302,4151
36005040303,4726
36005040304,4229
36005040400,2818
36005040501,4416
36005040502,5937
36005040600,3635
36005040701,3193
36005040702,7800
36005040800,4557
36005040900,3048
36005041100,2907
36005041300,7561
36005041400,4714
36005041500,5874
36005041800,4276
36005041900,6951
36005042000,3516
36005042100,5654
36005042200,3563
36005042300,4485
36005042400,2686
36005042500,6134
36005042600,6694
36005042800,2025
36005042901,4055
36005042902,4621
36005043000,3321
36005043100,10325
36005043400,3837
36005043500,52
36005043600,2244
36005044200,4071
36005044400,3576
